ID,STORE,NAME,X,Y,CLASS,CLIMATE,FOOD,DC,MILES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TTL
513 ,1011 ,BUF-EASTERN HILLS,-78.73,42.98,B,1, ,3804 ,352 ,27882 ,29137 ,38142 ,28822 ,27633 ,37774 ,31922 ,33950 ,36996 ,30028 ,37235 ,48504 ,408023 
514 ,1012 ,BUF-NIAGARA FALLS,-78.95,43.1,B,1, ,3804 ,359 ,29501 ,30829 ,40358 ,30496 ,29238 ,39968 ,33776 ,35922 ,39145 ,31772 ,39398 ,51322 ,431725 
515 ,1013 ,BUF-NORTH BUFFALO,-78.86,42.95,A,1, ,3804 ,348 ,36758 ,38413 ,50285 ,37998 ,36430 ,49799 ,42084 ,44758 ,48774 ,39588 ,49089 ,63946 ,537923 
516 ,1014 ,BUF-WALDEN GALLERIA,-78.75,42.93,B,1, ,3804 ,344 ,28796 ,30093 ,39393 ,29767 ,28539 ,39013 ,32969 ,35063 ,38210 ,31013 ,38456 ,50096 ,421408 
517 ,1015 ,NEW BERN,-77.12,35.08,C,4,Y,594 ,251 ,24048 ,25130 ,32897 ,24859 ,23833 ,32579 ,27532 ,29281 ,31909 ,25899 ,32114 ,41834 ,351914 
518 ,1016 ,RIC-COLONIAL HEIGHTS,-77.39,37.29,C,4, ,3811 ,268 ,20049 ,20951 ,27427 ,20725 ,19870 ,27162 ,22954 ,24412 ,26603 ,21592 ,26774 ,34878 ,293396 
519 ,1017 ,RIC-CHESTER,-77.45,37.34,C,4,Y,560 ,120 ,19188 ,20052 ,26249 ,19835 ,19017 ,25996 ,21969 ,23364 ,25461 ,20665 ,25625 ,33381 ,280803 
520 ,1018 ,RIC-RICHMOND CENTRAL,-77.49,37.59,B,4,Y,3811 ,274 ,35212 ,36796 ,48169 ,36399 ,34897 ,47704 ,40314 ,42874 ,46722 ,37922 ,47023 ,61256 ,515288 
521 ,1019 ,RIC-VIRGINA CENTER COMMONS,-77.53,37.66,C,4,Y,3811 ,279 ,21109 ,22059 ,28877 ,21821 ,20920 ,28598 ,24167 ,25703 ,28009 ,22733 ,28190 ,36722 ,308907 
522 ,1021 ,NOR-CHESAPEAKE EAST,-76.22,36.75,A,4, ,3811 ,325 ,35267 ,36854 ,48245 ,36456 ,34952 ,47779 ,40377 ,42942 ,46796 ,37982 ,47097 ,61352 ,516100 
523 ,1022 ,GREENVILLE,-77.39,35.67,C,4, ,594 ,241 ,25262 ,26399 ,34558 ,26114 ,25037 ,34225 ,28923 ,30760 ,33520 ,27207 ,33737 ,43947 ,369689 
524 ,1023 ,TPA-TYRONE/ST.PETE,-82.73,27.82,B,6,Y,556 ,283 ,30009 ,29866 ,39097 ,31020 ,29741 ,40655 ,34357 ,36539 ,39818 ,32318 ,40075 ,52204 ,435698 
525 ,1024 ,CHI-LOMBARD,-88.02,41.88,A,1,Y,3809 ,42 ,48054 ,47825 ,62606 ,49674 ,47625 ,65102 ,55016 ,58511 ,63762 ,51752 ,64173 ,83596 ,697696 
526 ,1025 ,SAC-ELK GROVE,-121.44,38.36,A,3,Y,555 ,37 ,50461 ,50221 ,65743 ,49678 ,47629 ,68363 ,57772 ,61442 ,69167 ,56550 ,65182 ,85578 ,727788 
527 ,1026 ,NAPA,-122.33,38.24,C,3,Y,555 ,61 ,27879 ,27746 ,36322 ,28819 ,27630 ,37769 ,31918 ,33946 ,38214 ,31243 ,36012 ,47280 ,404777 
528 ,1027 ,LAX-CAMARILLO,-119.07,34.22,A,5,Y,593 ,132 ,50358 ,52625 ,68890 ,52056 ,49909 ,68224 ,57655 ,61318 ,69026 ,56435 ,65050 ,85404 ,736951 
529 ,1028 ,LAX-W. COVINA,-117.89,34.06,A,5,Y,553 ,30 ,48110 ,47882 ,62681 ,49733 ,47681 ,65179 ,55081 ,58580 ,65945 ,53916 ,62146 ,81592 ,698527 
530 ,1029 ,SAN-ENCINITAS,-117.25,33.06,AA+,5,Y,3806 ,87 ,66390 ,66075 ,86496 ,65361 ,62664 ,85661 ,72390 ,76989 ,86668 ,74402 ,85759 ,112593 ,941446 
